C_Sort_Order,Country_or_Area,Note,Country_Code,Type_of_Data,T1_T_1990,T1_T_1995,T1_T_2000,T1_T_2005,T1_T_2010,T1_T_2015,T1_M_1990,T1_M_1995,T1_M_2000,T1_M_2005,T1_M_2010,T1_M_2015,T1_F_1990,T1_F_1995,T1_F_2000,T1_F_2005,T1_F_2010,T1_F_2015,Group
128,Eastern Europe,,923,,21995312,21344124,20428480,19747392,19116929.0,19684357.0,10201263,10022332,9700625,9362793,9033489.0,9305588.0,11794049,11321792,10727855,10384599,10083440.0,10378769.0,Region
129,Belarus,,112,B,1248977,1186282,1123586,1106982,1090378.0,1082905.0,572021,543307,514593,506988,499384.0,495961.0,676956,642975,608993,599994,590994.0,586944.0,Country_or_Area
130,Bulgaria,,100,B,21510,32435,43360,61074,76287.0,102113.0,9047,13642,18238,26594,33841.0,47442.0,12463,18793,25122,34480,42446.0,54671.0,Country_or_Area
131,Czech Republic,,203,C,110394,165592,220789,322540,397785.0,405093.0,57405,88316,119227,181719,235936.0,231897.0,52989,77276,101562,140821,161849.0,173196.0,Country_or_Area
132,Hungary,,348,B R,347510,322234,296957,366787,436616.0,449632.0,156185,147202,138219,174216,210212.0,220913.0,191325,175032,158738,192571,226404.0,228719.0,Country_or_Area
133,Poland,,616,B,1127771,964725,825251,722509,642417.0,619403.0,482176,404049,338323,297039,262263.0,257311.0,645595,560676,486928,425470,380154.0,362092.0,Country_or_Area
134,Republic of Moldova,(13),498,B,544162,367231,247828,173957,157668.0,142904.0,239616,161706,109129,76600,60541.0,50545.0,304546,205525,138699,97357,97127.0,92359.0,Country_or_Area
135,Romania,,642,B,135825,135037,126949,145162,155982.0,226943.0,57601,63282,60428,66264,77499.0,119364.0,78224,71755,66521,78898,78483.0,107579.0,Country_or_Area
136,Russian Federation,,643,B,11524948,11928927,11900297,11667588,11194710.0,11643276.0,5655422,5925452,5982851,5806597,5514401.0,5715211.0,5869526,6003475,5917446,5860991,5680309.0,5928065.0,Country_or_Area
137,Slovakia,,703,B,41295,69323,116376,130491,146319.0,177190.0,18187,30531,51253,58716,66938.0,83714.0,23108,38792,65123,71775,79381.0,93476.0,Country_or_Area
138,Ukraine,,804,B,6892920,6172338,5527087,5050302,4818767.0,4834898.0,2953603,2644845,2368364,2168060,2072474.0,2083230.0,3939317,3527493,3158723,2882242,2746293.0,2751668.0,Country_or_Area
139,Northern Europe,,924,,6645605,7194824,7900973,9588814,11858391.0,13331442.0,3176421,3404174,3711179,4564413,5701407.0,6382614.0,3469184,3790650,4189794,5024401,6156984.0,6948828.0,Region
140,Channel Islands,(14),830,B,61660,60519,64301,70941,77581.0,82307.0,29005,28468,30234,33611,36982.0,39338.0,32655,32051,34067,37330,40599.0,42969.0,Country_or_Area
141,Denmark,,208,B,235189,303108,371026,440383,509740.0,572520.0,114411,147194,179977,213097,246217.0,277099.0,120778,155914,191049,227286,263523.0,295421.0,Country_or_Area
142,Estonia,,233,B,381997,315755,249512,233701,217890.0,202348.0,171691,136268,100844,94244,87644.0,81237.0,210306,179487,148668,139457,130246.0,121111.0,Country_or_Area
143,Faeroe Islands,,234,B,4285,2900,3593,4583,5096.0,5517.0,2440,1575,1921,2450,2700.0,2795.0,1845,1325,1672,2133,2396.0,2722.0,Country_or_Area
144,Finland,(15),246,B,63255,99729,136203,192169,248135.0,315881.0,31682,49575,67469,96429,125389.0,160650.0,31573,50154,68734,95740,122746.0,155231.0,Country_or_Area
145,Iceland,,352,B,9584,12738,15892,25492,35091.0,37522.0,4248,5727,7207,12413,17619.0,18156.0,5336,7011,8685,13079,17472.0,19366.0,Country_or_Area
146,Ireland,,372,B,227961,226892,350552,589046,730542.0,746260.0,112093,108084,172959,309910,360440.0,363521.0,115868,118808,177593,279136,370102.0,382739.0,Country_or_Area
147,Isle of Man,,833,B,34769,36886,39002,41475,43447.0,45221.0,16371,17548,18725,20214,21361.0,22393.0,18398,19338,20277,21261,22086.0,22828.0,Country_or_Area
148,Latvia,,428,B,646007,538093,430178,376725,313786.0,263126.0,290800,234216,177632,154745,124675.0,102673.0,355207,303877,252546,221980,189111.0,160453.0,Country_or_Area
149,Lithuania,,440,B,349258,273587,214311,201209,160772.0,136036.0,164585,128641,100546,94189,69606.0,57203.0,184673,144946,113765,107020,91166.0,78833.0,Country_or_Area
150,Norway,(16),578,B,192587,233302,292440,361144,526799.0,741813.0,99562,117222,144826,176444,268505.0,387098.0,93025,116080,147614,184700,258294.0,354715.0,Country_or_Area
151,Sweden,,752,B,788767,936022,1003798,1125790,1384929.0,1639771.0,383085,450945,480211,538490,673083.0,810259.0,405682,485077,523587,587300,711846.0,829512.0,Country_or_Area
152,United Kingdom of Great Britain and Northern Ireland,,826,B,3650286,4155293,4730165,5926156,7604583.0,8543120.0,1756448,1978711,2228628,2818177,3667186.0,4060192.0,1893838,2176582,2501537,3107979,3937397.0,4482928.0,Country_or_Area
153,Southern Europe,,925,,4340454,5985675,7517054,11974334,16154120.0,15747685.0,2062811,2856852,3610908,5832012,7846982.0,7374789.0,2277643,3128823,3906146,6142322,8307138.0,8372896.0,Region
154,Albania,,8,B,66013,71354,76695,64739,52784.0,57616.0,30579,33284,35990,32993,26901.0,29363.0,35434,38070,40705,31746,25883.0,28253.0,Country_or_Area
155,Andorra,,20,C,38904,40525,42146,50298,52053.0,42082.0,20810,21451,22092,26559,27486.0,22221.0,18094,19074,20054,23739,24567.0,19861.0,Country_or_Area
156,Bosnia and Herzegovina,,70,I R,56000,69476,82952,47272,38792.0,34803.0,26538,33115,39691,22473,18504.0,16599.0,29462,36361,43261,24799,20288.0,18204.0,Country_or_Area
157,Croatia,,191,B R,475438,674085,585298,579273,573248.0,576883.0,222531,315733,274823,271645,268466.0,269287.0,252907,358352,310475,307628,304782.0,307596.0,Country_or_Area
158,Gibraltar,,292,B,8709,8381,8054,9211,10369.0,11065.0,4528,4196,3865,4518,5171.0,5591.0,4181,4185,4189,4693,5198.0,5474.0,Country_or_Area
159,Greece,,300,B,618139,857850,1111665,1190707,1269749.0,1242514.0,330038,445004,559794,587677,615560.0,575927.0,288101,412846,551871,603030,654189.0,666587.0,Country_or_Area
160,Holy See,(17),336,I,770,779,787,793,799.0,800.0,376,378,379,378,377.0,374.0,394,401,408,415,422.0,426.0,Country_or_Area
161,Italy,,380,B,1428219,1774954,2121688,3954790,5787893.0,5788875.0,642414,809553,976691,1820290,2663889.0,2608451.0,785805,965401,1144997,2134500,3124004.0,3180424.0,Country_or_Area
162,Malta,,470,B,15077,17740,21521,24560,33084.0,41442.0,7012,8366,10289,11899,16777.0,21969.0,8065,9374,11232,12661,16307.0,19473.0,Country_or_Area
163,Montenegro,,499,B,..,..,..,..,78507.0,82541.0,..,..,..,..,31636.0,33547.0,..,..,..,..,46871.0,48994.0,Country_or_Area
164,Portugal,,620,B,435782,532822,651472,771184,762825.0,837257.0,209922,259337,320319,376774,371536.0,389537.0,225860,273485,331153,394410,391289.0,447720.0,Country_or_Area
165,San Marino,,674,B,3310,3659,4045,4218,4399.0,4717.0,1728,1940,2175,2302,2435.0,2577.0,1582,1719,1870,1916,1964.0,2140.0,Country_or_Area
166,Serbia,(18),688,B,99269,630221,856763,845120,826066.0,807441.0,46712,289545,383893,373473,364654.0,355180.0,52557,340676,472870,471647,461412.0,452261.0,Country_or_Area
167,Slovenia,,705,B,178077,174419,171018,197276,253786.0,235966.0,89514,90255,90464,107131,141285.0,134491.0,88563,84164,80554,90145,112501.0,101475.0,Country_or_Area
168,Spain,(19),724,B,821605,1020067,1657285,4107226,6280065.0,5852953.0,390448,499114,838058,2140680,3238238.0,2855179.0,431157,520953,819227,1966546,3041827.0,2997774.0,Country_or_Area
169,The former Yugoslav Republic of Macedonia,,807,B,95142,109343,125665,127667,129701.0,130730.0,39661,45581,52385,53220,54067.0,54496.0,55481,63762,73280,74447,75634.0,76234.0,Country_or_Area
170,Western Europe,,926,,16237829,18318040,20425378,22776284,25245315.0,27382470.0,8506178,9352448,10213350,11162407,12093939.0,13209625.0,7731651,8965592,10212028,11613877,13151376.0,14172845.0,Region
171,Austria,,40,B,793239,894893,996547,1136270,1275992.0,1492374.0,368287,423302,478318,543618,608918.0,716470.0,424952,471591,518229,592652,667074.0,775904.0,Country_or_Area
172,Belgium,,56,C,891537,885278,853369,870862,1052844.0,1387940.0,480445,468072,443696,445710,534608.0,715142.0,411092,417206,409673,425152,518236.0,672798.0,Country_or_Area
173,France,,250,B,5897267,6087993,6278718,6737600,7196481.0,7784418.0,2999376,3046083,3092789,3300859,3508928.0,3782619.0,2897891,3041910,3185929,3436741,3687553.0,4001799.0,Country_or_Area
174,Germany,,276,B,5936181,7464406,8992631,10299160,11605690.0,12005690.0,3293128,3898397,4503666,5011682,5519698.0,5709939.0,2643053,3566009,4488965,5287478,6085992.0,6295751.0,Country_or_Area
175,Liechtenstein,,438,B,10906,13311,15483,18898,22342.0,23493.0,5956,7068,7980,9434,10867.0,11428.0,4950,6243,7503,9464,11475.0,12065.0,Country_or_Area
176,Luxembourg,,442,B,113795,126106,139750,150618,163142.0,249325.0,56062,62292,69286,74951,81420.0,126180.0,57733,63814,70464,75667,81722.0,123145.0,Country_or_Area
177,Monaco,,492,B,20359,21060,21787,21312,21132.0,21042.0,9471,9955,10458,10322,10325.0,10326.0,10888,11105,11329,10990,10807.0,10716.0,Country_or_Area
178,Netherlands,,528,B,1182263,1346164,1556337,1736127,1832510.0,1979486.0,592343,668236,765302,843444,881264.0,942478.0,589920,677928,791035,892683,951246.0,1037008.0,Country_or_Area
179,Switzerland,,756,B,1392282,1478829,1570756,1805437,2075182.0,2438702.0,701110,769043,841855,922387,937911.0,1195043.0,691172,709786,728901,883050,1137271.0,1243659.0,Country_or_Area
180,Latin America and the Caribbean,,904,,7169728,6694640,6578428,7233098,8238795.0,9233989.0,3597037,3349769,3283675,3594756,4090744.0,4583051.0,3572691,3344871,3294753,3638342,4148051.0,4650938.0,Major_Area
181,Caribbean,,915,,1056555,1154700,1255647,1328740,1345732.0,1367407.0,549666,596692,645104,680714,688738.0,701130.0,506889,558008,610543,648026,656994.0,666277.0,Region
182,Anguilla,,660,B,2570,3317,4063,4684,5103.0,5470.0,1258,1584,1910,2210,2415.0,2593.0,1312,1733,2153,2474,2688.0,2877.0,Country_or_Area
183,Antigua and Barbuda,,28,B,12029,17550,23071,24741,26412.0,28083.0,5775,8046,10316,11052,11788.0,12524.0,6254,9504,12755,13689,14624.0,15559.0,Country_or_Area
184,Aruba,,533,B,14444,22274,30104,32540,34327.0,36114.0,6429,9974,13519,14559,15311.0,16108.0,8015,12300,16585,17981,19016.0,20006.0,Country_or_Area
185,Bahamas,,44,B,26855,31654,36454,45595,54736.0,59306.0,13827,16620,19414,23646,27878.0,29994.0,13028,15034,17040,21949,26858.0,29312.0,Country_or_Area
186,Barbados,,52,B,24024,26224,28424,30624,32825.0,34475.0,10065,11235,12405,13575,14746.0,15488.0,13959,14989,16019,17049,18079.0,18987.0,Country_or_Area
187,"Bonaire, Sint Eustatius and Saba",(20),535,B,38410,42258,46105,49105,11445.0,13002.0,17257,18830,20402,21730,5530.0,6292.0,21153,23428,25703,27375,5915.0,6710.0,Country_or_Area
188,British Virgin Islands,,92,B,8035,10046,12058,13808,15558.0,17308.0,4126,5034,5942,6805,7667.0,8530.0,3909,5012,6116,7003,7891.0,8778.0,Country_or_Area
189,Cayman Islands,,136,C,9387,14320,19253,21655,24057.0,23726.0,4622,7166,9709,11011,12312.0,12143.0,4765,7154,9544,10644,11745.0,11583.0,Country_or_Area
190,Cuba,,192,B,34555,26187,17818,17023,14818.0,13336.0,17278,12559,7840,7540,6611.0,5950.0,17277,13628,9978,9483,8207.0,7386.0,Country_or_Area
191,Curaçao,,531,B,..,..,..,..,34627.0,37611.0,..,..,..,..,14195.0,15467.0,..,..,..,..,20432.0,22144.0,Country_or_Area
192,Dominica,,212,B,2519,3121,3723,4744,5765.0,6720.0,1309,1623,1955,2491,3027.0,3528.0,1210,1498,1768,2253,2738.0,3192.0,Country_or_Area
193,Dominican Republic,,214,B,291151,323381,355611,376001,393720.0,415564.0,181677,198842,216008,228180,238742.0,251890.0,109474,124539,139603,147821,154978.0,163674.0,Country_or_Area
194,Grenada,,308,B,4263,5544,6825,6902,6980.0,7057.0,2106,2746,3386,3424,3463.0,3502.0,2157,2798,3439,3478,3517.0,3555.0,Country_or_Area
195,Guadeloupe,(21),312,B,65944,74566,83188,89065,94942.0,98507.0,32718,36248,39778,41273,42768.0,43858.0,33226,38318,43410,47792,52174.0,54649.0,Country_or_Area
196,Haiti,,332,B,19084,22458,25832,30468,35104.0,39529.0,10606,12635,14664,17413,20162.0,22774.0,8478,9823,11168,13055,14942.0,16755.0,Country_or_Area
197,Jamaica,,388,B,20475,22713,24952,24314,23677.0,23167.0,9981,11242,12503,12263,12024.0,11766.0,10494,11471,12449,12051,11653.0,11401.0,Country_or_Area
198,Martinique,,474,B,38705,46599,54492,57034,59575.0,61731.0,19091,22271,25451,25891,26330.0,26989.0,19614,24328,29041,31143,33245.0,34742.0,Country_or_Area
199,Montserrat,,500,B,2013,1612,1211,1244,1277.0,1351.0,1029,825,622,639,657.0,696.0,984,787,589,605,620.0,655.0,Country_or_Area
200,Puerto Rico,,630,B,321909,338067,355038,352144,304969.0,274972.0,153354,160739,168480,166780,142939.0,128261.0,168555,177328,186558,185364,162030.0,146711.0,Country_or_Area
201,Saint Kitts and Nevis,,659,B,3210,4248,5871,6682,7245.0,7443.0,1642,2196,3068,3501,3806.0,3916.0,1568,2052,2803,3181,3439.0,3527.0,Country_or_Area
202,Saint Lucia,,662,B,5305,7152,9868,11468,12100.0,12771.0,2616,3560,4950,5783,6106.0,6446.0,2689,3592,4918,5685,5994.0,6325.0,Country_or_Area
203,Saint Vincent and the Grenadines,,670,B,3970,4135,4307,4395,4485.0,4577.0,1928,2011,2099,2144,2190.0,2237.0,2042,2124,2208,2251,2295.0,2340.0,Country_or_Area
204,Sint Maarten (Dutch part),,534,B,..,..,..,13100,26200.0,27295.0,..,..,..,6285,12570.0,13077.0,..,..,..,6815,13630.0,14218.0,Country_or_Area
205,Trinidad and Tobago,,780,B,50666,45994,41753,44812,48226.0,49883.0,23528,21303,19288,20647,23152.0,24326.0,27138,24691,22465,24165,25074.0,25557.0,Country_or_Area
206,Turks and Caicos Islands,,796,B,5062,7039,9015,9945,10875.0,11688.0,2620,3643,4665,5146,5627.0,6047.0,2442,3396,4350,4799,5248.0,5641.0,Country_or_Area
207,United States Virgin Islands,,850,B,51970,54241,56611,56647,56684.0,56721.0,24824,25760,26730,26726,26722.0,26728.0,27146,28481,29881,29921,29962.0,29993.0,Country_or_Area
208,Central America,,916,,1829911,1298916,1107577,1385713,1749940.0,2040151.0,903333,643244,554886,692144,874453.0,1020896.0,926578,655672,552691,693569,875487.0,1019255.0,Region
209,Belize,,84,B R ,30404,33446,36488,41424,46360.0,53860.0,16393,17512,18631,21045,23459.0,27092.0,14011,15934,17857,20379,22901.0,26768.0,Country_or_Area
210,Costa Rica,,188,B R,417628,364287,310946,358175,405404.0,421697.0,212173,184485,156798,176335,195873.0,202613.0,205455,179802,154148,181840,209531.0,219084.0,Country_or_Area
211,El Salvador,,222,B R,47360,39537,31713,36019,40324.0,42045.0,22218,18564,14909,17029,19148.0,19996.0,25142,20973,16804,18990,21176.0,22049.0,Country_or_Area
212,Guatemala,,320,B R,264257,156188,48119,57252,66384.0,76352.0,112615,66913,21211,26064,30917.0,36136.0,151642,89275,26908,31188,35467.0,40216.0,Country_or_Area
213,Honduras,,340,B R,270423,149442,28461,27875,27288.0,28070.0,137573,76077,14581,14444,14306.0,14826.0,132850,73365,13880,13431,12982.0,13244.0,Country_or_Area
214,Mexico,,484,B R,695674,458549,538051,712487,969538.0,1193155.0,348353,229589,270896,359642,490691.0,604669.0,347321,228960,267155,352845,478847.0,588486.0,Country_or_Area
215,Nicaragua,,558,B R,41421,26619,30389,34918,37333.0,40262.0,20860,13364,15423,17773,19128.0,20723.0,20561,13255,14966,17145,18205.0,19539.0,Country_or_Area
216,Panama,,591,B,62744,70848,83410,117563,157309.0,184710.0,33148,36740,42437,59812,80931.0,94841.0,29596,34108,40973,57751,76378.0,89869.0,Country_or_Area
217,South America,,931,,4283262,4241024,4215204,4518645,5143123.0,5826431.0,2144038,2109833,2083685,2221898,2527553.0,2861025.0,2139224,2131191,2131519,2296747,2615570.0,2965406.0,Region
218,Argentina,,32,B,1649919,1595069,1540219,1673088,1805957.0,2086302.0,788130,753027,717924,774810,831696.0,960310.0,861789,842042,822295,898278,974261.0,1125992.0,Country_or_Area
219,Bolivia (Plurinational State of),,68,B,73758,83598,92658,107745,122846.0,142989.0,37549,42806,47665,56019,64380.0,74939.0,36209,40792,44993,51726,58466.0,68050.0,Country_or_Area
220,Brazil,,76,B,798517,741557,684596,638582,592568.0,713568.0,426147,396152,366156,343019,319882.0,385201.0,372370,345405,318440,295563,272686.0,328367.0,Country_or_Area
221,Chile,,152,B,107501,142417,177332,273384,369436.0,469436.0,54547,69632,84717,129398,174079.0,221200.0,52954,72785,92615,143986,195357.0,248236.0,Country_or_Area
222,Colombia,,170,B,104277,106943,109609,107612,124271.0,133134.0,53109,54666,56223,55706,65622.0,70912.0,51168,52277,53386,51906,58649.0,62222.0,Country_or_Area
223,Ecuador,,218,B R,78663,115093,151523,187404,325366.0,387513.0,38531,57879,77227,96188,167773.0,200352.0,40132,57214,74296,91216,157593.0,187161.0,Country_or_Area
224,Falkland Islands (Malvinas),,238,B,855,868,1067,1166,1436.0,1571.0,488,510,636,675,807.0,873.0,367,358,431,491,629.0,698.0,Country_or_Area
225,French Guiana,,254,B,63612,70131,76649,86468,96288.0,106108.0,34843,36869,38895,42729,46564.0,50399.0,28769,33262,37754,43739,49724.0,55709.0,Country_or_Area
226,Guyana,,328,B,4095,6352,8610,10868,13126.0,15384.0,2200,3405,4611,5817,7023.0,8229.0,1895,2947,3999,5051,6103.0,7155.0,Country_or_Area
227,Paraguay,,600,B,195884,186570,176608,168243,160299.0,156462.0,102816,97869,92052,87698,83394.0,81303.0,93068,88701,84556,80545,76905.0,75159.0,Country_or_Area
228,Peru,,604,B,65025,56732,66293,77541,84066.0,90881.0,32538,28061,32955,38746,42204.0,45805.0,32487,28671,33338,38795,41862.0,45076.0,Country_or_Area
229,Suriname,,740,C,18031,22270,27506,33664,39713.0,46836.0,9731,12057,14892,18339,21659.0,25569.0,8300,10213,12614,15325,18054.0,21267.0,Country_or_Area
230,Uruguay,,858,B,98116,93428,88871,82318,76263.0,71799.0,45830,43427,41093,37658,34507.0,32475.0,52286,50001,47778,44660,41756.0,39324.0,Country_or_Area
231,Venezuela (Bolivarian Republic of),,862,B,1025009,1019996,1013663,1070562,1331488.0,1404448.0,517579,513473,508639,535096,667963.0,703458.0,507430,506523,505024,535466,663525.0,700990.0,Country_or_Area
232,Northern America,,905,,27610542,33341147,40351848,45363387,51220996.0,54488725.0,13497319,16402001,19983930,22544728,25064323.0,26586377.0,14113223,16939146,20367918,22818659,26156673.0,27902348.0,Region
233,Bermuda,,60,B,15683,16676,17668,18276,18884.0,19126.0,7557,8044,8531,8866,9202.0,9336.0,8126,8632,9137,9410,9682.0,9790.0,Country_or_Area
234,Canada,,124,B,4333318,4864778,5511914,6078985,7011226.0,7835502.0,2109652,2356105,2659135,2915838,3356211.0,3748267.0,2223666,2508673,2852779,3163147,3655015.0,4087235.0,Country_or_Area
235,Greenland,,304,B,9416,7320,6755,6686,6226.0,6009.0,6565,5011,4723,4549,4210.0,3951.0,2851,2309,2032,2137,2016.0,2058.0,Country_or_Area
236,Saint Pierre and Miquelon,,666,B,1099,1320,1458,1147,1017.0,986.0,560,682,756,597,531.0,516.0,539,638,702,550,486.0,470.0,Country_or_Area
237,United States of America,,840,B,23251026,28451053,34814053,39258293,44183643.0,46627102.0,11372985,14032159,17310785,19614878,21694169.0,22824307.0,11878041,14418894,17503268,19643415,22489474.0,23802795.0,Country_or_Area
238,Oceania,,909,,4730858,5022263,5360027,6023421,7125364.0,8100886.0,2415042,2535448,2676143,2988897,3538376.0,3999552.0,2315816,2486815,2683884,3034524,3586988.0,4101334.0,Major_Area
239,Australia and New Zealand,,927,,4473260,4741947,5065063,5717982,6830423.0,7803399.0,2271419,2382510,2519827,2826880,3381077.0,3840367.0,2201841,2359437,2545236,2891102,3449346.0,3963032.0,Region
240,Australia,(22),36,B,3955213,4153330,4386250,4878030,5882980.0,6763663.0,2013196,2093280,2189900,2419190,2922030.0,3337580.0,1942017,2060050,2196350,2458840,2960950.0,3426083.0,Country_or_Area
241,New Zealand,,554,B,518047,588617,678813,839952,947443.0,1039736.0,258223,289230,329927,407690,459047.0,502787.0,259824,299387,348886,432262,488396.0,536949.0,Country_or_Area
242,Melanesia,,928,,90210,96828,94078,103878,105684.0,109595.0,50143,54089,52701,58643,59426.0,61813.0,40067,42739,41377,45235,46258.0,47782.0,Region
243,Fiji,,242,B,13283,13001,12719,12435,13351.0,13751.0,6847,6726,6601,6564,7137.0,7421.0,6436,6275,6118,5871,6214.0,6330.0,Country_or_Area
244,New Caledonia,,540,B,37673,43662,49651,55405,61158.0,64290.0,20885,23908,26932,29909,32886.0,34621.0,16788,19754,22719,25496,28272.0,29669.0,Country_or_Area
245,Papua New Guinea,,598,C R,32720,33526,25101,29967,25424.0,25782.0,18793,19832,15624,18942,16370.0,16738.0,13927,13694,9477,11025,9054.0,9044.0,Country_or_Area
246,Solomon Islands,,90,B,4226,4178,3981,3271,2760.0,2585.0,2349,2328,2224,1830,1546.0,1450.0,1877,1850,1757,1441,1214.0,1135.0,Country_or_Area
247,Vanuatu,,548,B,2308,2461,2626,2800,2991.0,3187.0,1269,1295,1320,1398,1487.0,1583.0,1039,1166,1306,1402,1504.0,1604.0,Country_or_Area
248,Micronesia,,954,,108969,118687,130186,128390,116245.0,115772.0,60858,63046,64928,63769,58535.0,58613.0,48111,55641,65258,64621,57710.0,57159.0,Region
249,Guam,,316,B,69755,71912,74070,74743,75416.0,76089.0,39364,38822,38280,38602,38924.0,39246.0,30391,33090,35790,36141,36492.0,36843.0,Country_or_Area
250,Kiribati,,296,B,2162,2223,2283,2487,2868.0,3153.0,1107,1139,1188,1312,1512.0,1662.0,1055,1084,1095,1175,1356.0,1491.0,Country_or_Area
251,Marshall Islands,,584,B,1158,1480,1891,2417,3089.0,3284.0,721,916,1164,1485,1895.0,2011.0,437,564,727,932,1194.0,1273.0,Country_or_Area
252,Micronesia (Federated States of),,583,B,3685,3342,3116,2905,2805.0,2756.0,2099,2119,1721,1565,1502.0,1473.0,1586,1223,1395,1340,1303.0,1283.0,Country_or_Area
253,Nauru,,520,C,2815,2605,2394,2253,2112.0,3178.0,1506,1395,1283,1208,1133.0,1907.0,1309,1210,1111,1045,979.0,1271.0,Country_or_Area
254,Northern Mariana Islands,,580,B,26593,32376,40122,37542,24168.0,21648.0,14261,15847,17387,15977,10223.0,9100.0,12332,16529,22735,21565,13945.0,12548.0,Country_or_Area
255,Palau,,585,B,2801,4749,6310,6043,5787.0,5664.0,1800,2808,3905,3620,3346.0,3214.0,1001,1941,2405,2423,2441.0,2450.0,Country_or_Area
256,Polynesia,,957,,58419,64801,70700,73171,73012.0,72120.0,32622,35803,38687,39605,39338.0,38759.0,25797,28998,32013,33566,33674.0,33361.0,Region
257,American Samoa,,16,B,21283,23098,24912,24233,23555.0,23216.0,11175,12037,12898,12498,12098.0,11898.0,10108,11061,12014,11735,11457.0,11318.0,Country_or_Area
258,Cook Islands,,184,B,2587,2686,2785,3277,3769.0,4152.0,1443,1497,1552,1724,1895.0,2078.0,1144,1189,1233,1553,1874.0,2074.0,Country_or_Area
259,French Polynesia,,258,B,25830,28360,30329,32286,31640.0,30058.0,15444,16689,17604,18405,18037.0,17136.0,10386,11671,12725,13881,13603.0,12922.0,Country_or_Area
260,Niue,,570,B,461,480,498,522,545.0,557.0,245,257,268,282,295.0,302.0,216,223,230,240,250.0,255.0,Country_or_Area
261,Samoa,,882,B,3357,4694,5998,5746,5122.0,4929.0,1771,2451,3101,2940,2594.0,2469.0,1586,2243,2897,2806,2528.0,2460.0,Country_or_Area
262,Tokelau,,772,B,270,266,262,258,429.0,487.0,150,147,144,133,206.0,233.0,120,119,118,125,223.0,254.0,Country_or_Area
263,Tonga,,776,B,2911,3274,3684,4301,5022.0,5731.0,1488,1718,1981,2328,2727.0,3127.0,1423,1556,1703,1973,2295.0,2604.0,Country_or_Area
264,Tuvalu,,798,C,318,263,217,183,154.0,141.0,180,148,121,101,85.0,78.0,138,115,96,82,69.0,63.0,Country_or_Area
265,Wallis and Futuna Islands,,876,B,1402,1680,2015,2365,2776.0,2849.0,726,859,1018,1194,1401.0,1438.0,676,821,997,1171,1375.0,1411.0,Country_or_Area
