ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER,BUDGET_AMT_LAG12,NBR_CASE_LAG11,TOT_PAID_ADJUSTED
4/30/2012,2012,1,2872070.97,2064924.92,36,12,24,3629805.06,41,3135642.643
5/31/2012,2012,2,2017235.18,1387912.58,30,10,20,1724956.61,38,2095194.618
6/30/2012,2012,3,2030150.39,2203039.23,32,9,23,2623665.5,49,2450286.87
7/31/2012,2012,4,2156175.11,1510063.18,41,12,29,2626410.66,33,2406744.489
8/31/2012,2012,5,2104838.76,2852607.3,68,14,54,1995629.23,43,2262191.095
9/30/2012,2012,6,1239605.6,2982185.85,46,8,38,3465521.97,35,2193638.005
10/31/2012,2012,7,1813201.08,1831774.12,35,9,26,1792970.42,32,1974016.756
11/30/2012,2012,8,1964663.18,3229496.07,61,14,47,1924099.546,25,2045473.734
12/31/2012,2012,9,1705037.78,3051046.44,51,12,39,1790695.5,27,1884509.201
1/31/2013,2012,10,1654993.05,1619809.81,33,10,23,1337685.21,32,1758906.358
2/28/2013,2012,11,2364079.84,2386270.9,35,11,24,1815549.91,75,2578209.684
3/31/2013,2012,12,900197.95,2377410.52,27,10,17,2238235.9,36,1663324.43
4/30/2013,2013,1,2671204.95,2164948.38,49,13,36,2064924.92,30,2502095.797
5/31/2013,2013,2,1656952.45,1925505.81,32,14,18,1387912.58,32,1781229.635
6/30/2013,2013,3,1981714.48,1754634.66,42,13,29,2203039.23,41,2261207.243
7/31/2013,2013,4,2596199.19,1952435.36,37,12,25,1510063.18,68,2567320.076
8/31/2013,2013,5,2160295.18,2236453.92,34,8,26,2852607.3,46,2588156.31
9/30/2013,2013,6,1513882.32,1369729.94,32,8,24,2982185.85,35,2211539.186
10/31/2013,2013,7,1632396.88,3025887.28,60,25,35,1831774.12,61,2112604.414
11/30/2013,2013,8,2294279,1421532.25,43,11,32,3229496.07,51,2811406.588
12/31/2013,2013,9,2172848.61,1427626.49,35,11,24,3051046.44,33,2569358.004
1/31/2014,2013,10,1644101.03,3507401.86,67,10,57,1619809.81,35,1877526.339
2/28/2014,2013,11,1641647.36,1841224.41,55,13,42,2386270.9,27,2051634.612
3/31/2014,2013,12,2156105.37,3266199.09,42,13,29,2377410.52,49,2475323.322
4/30/2014,2014,1,2222263.14,2358043.45,54,11,43,2164948.38,32,2328725.839
5/31/2014,2014,2,1709731.4,2031113.489,51,15,36,1925505.81,42,2059055.436
6/30/2014,2014,3,2056515.37,2094661.68,38,9,29,1754634.66,37,2156645.937
7/31/2014,2014,4,2167779.74,3607457.13,59,13,46,1952435.36,34,2255014.48
8/31/2014,2014,5,2164246.54,1138014.36,24,5,19,2236453.92,32,2325894.308
9/30/2014,2014,6,1638343.97,2057333.71,55,13,42,1369729.94,60,1987224.405
10/31/2014,2014,7,1643687.01,3876312.01,56,9,47,3025887.28,43,2369233.463
11/30/2014,2014,8,1801718.81,1260767.63,33,5,28,1421532.25,35,1916487.86
12/31/2014,2014,9,2229873.87,2534111.84,31,13,18,1427626.49,67,2369400.695
1/31/2015,2014,10,1652092.58,1956282.453,47,13,34,3507401.86,55,2606920.393
2/28/2015,2014,11,1812800.17,3181166.224,56,12,44,1841224.41,42,2101975.138
3/31/2015,2014,12,2280071.14,2792862.4,65,15,50,3266199.09,54,2860881.185
4/30/2015,2015,1,2268000.62,2036438.798,37,13,24,2358043.45,51,2562607.423
5/31/2015,2015,2,2296895.1,3073630.96,67,13,54,2031113.489,38,2390122.756
6/30/2015,2015,3,2560899.1,2293476.359,51,11,40,2094661.68,59,2696821.304
7/31/2015,2015,4,2921974.55,2004424.244,35,6,29,3607457.13,24,3096667.019
8/31/2015,2015,5,2162138.14,2156796.2,38,11,27,1138014.36,55,2175203.831
9/30/2015,2015,6,1539331.38,2090915.083,57,15,42,2057333.71,56,2132066.133
10/31/2015,2015,7,1933027.15,1500551.648,19,3,16,3876312.01,33,2725063.997
11/30/2015,2015,8,1972425.92,3941170.846,57,14,43,1260767.63,31,1948650.632
12/31/2015,2015,9,1992113.37,1453386.65,24,8,16,2534111.84,47,2454754.634
1/31/2016,2015,10,2221328.92,2096546.766,54,17,37,1956282.453,56,2466602.507
2/29/2016,2015,11,1660954.45,1648925.19,41,10,31,3181166.224,65,2604060.006
3/31/2016,2015,12,1940317.92,2296818.55,42,10,32,2792862.4,37,2439691.837
4/30/2016,2016,1,1900619.06,2330669.011,50,9,41,2036438.798,67,2403805.284
5/31/2016,2016,2,1813296.63,2193039.19,44,18,26,3073630.96,51,2558408.835
6/30/2016,2016,3,1741400.85,1764802.379,42,12,30,2293476.359,35,2175920.429
7/31/2016,2016,4,2389991.23,2944021.215,37,6,31,2004424.244,38,2452856.911
8/31/2016,2016,5,1360454.62,2234798.69,36,5,31,2156796.2,57,2091972.869
9/30/2016,2016,6,2130952.88,1559861.258,29,8,21,2090915.083,19,2212473.782
10/31/2016,2016,7,1560746.86,1926779.928,40,13,27,1500551.648,57,2003535.134
11/30/2016,2016,8,1751660.08,3566603.692,39,16,23,3941170.846,24,2606272.501
12/31/2016,2016,9,1247216.95,1766605.264,33,15,18,1453386.65,54,1806592.931
1/31/2017,2016,10,2283660.72,3084823.166,46,14,32,2096546.766,41,2454953.052
2/28/2017,2016,11,2065107.68,1569254.32,30,8,22,1648925.19,42,2214309.08
3/31/2017,2016,12,1561699.4,1270808.493,28,6,22,2296818.55,50,2201613.015
4/30/2017,2017,1,1501834.04,2755812.218,45,13,32,2330669.011,44,2139772.271
5/31/2017,2017,2,2452080.04,2387869.87,50,21,29,2193039.19,42,2585700.456
6/30/2017,2017,3,1977013.09,2397063.113,27,12,15,1764802.379,37,2173912.608
7/31/2017,2017,4,2556370.52,3006947.783,49,22,27,2944021.215,36,2826876.379
8/31/2017,2017,5,1885803.17,2672625.422,36,9,27,2234798.69,29,2213965.331
9/30/2017,2017,6,1953280.92,1497327.189,36,7,29,1559861.258,40,2125655.288
10/31/2017,2017,7,1746813.75,2256027.323,42,10,32,1926779.928,39,2121704.726
11/30/2017,2017,8,1606243.9,2090420.503,44,10,34,3566603.692,33,2499217.68
12/31/2017,2017,9,1625741.69,1267262.348,21,8,13,1766605.264,46,2062183.167
1/31/2018,2017,10,2697441.94,3167225.47,49,10,39,3084823.166,30,2910564.182
2/28/2018,2017,11,1615646.79,3607562.054,64,14,50,1569254.32,28,1874565.912
3/31/2018,2017,12,2145538.1,2431429.333,61,13,48,1270808.493,45,2184434.573
4/30/2018,2018,1,2153008.87,3239678.403,56,20,36,2755812.218,50,2670480.345
5/31/2018,2018,2,2101930.5,2203610.271,50,11,39,2387869.87,27,2373518.429
6/30/2018,2018,3,2097268.44,1983393.376,47,19,28,2397063.113,49,2529644.983
7/31/2018,2018,4,2592867.81,1510168.665,36,8,28,3006947.783,36,2883620.532
8/31/2018,2018,5,2015054.33,2221267.368,44,19,25,2672625.422,36,2481037.949
9/30/2018,2018,6,1222470.6,2877683.088,52,18,34,1497327.189,42,1755298.083
10/31/2018,2018,7,2249711.87,2263179.778,51,18,33,2256027.323,44,2538661.05
11/30/2018,2018,8,1939409.96,1731484.64,29,5,24,2090420.503,21,2166087.616
12/31/2018,2018,9,1482792.84,2767227.89,46,11,35,1267262.348,49,1876921.075
1/31/2019,2018,10,2127225.02,3572884.661,66,21,45,3167225.47,64,2892519.512
2/28/2019,2018,11,2160835.26,3358937.97,57,10,47,3607562.054,61,3022814.552
3/31/2019,2018,12,2860021.31,4540530.886,92,15,77,2431429.333,56,3004136.507
4/30/2019,2019,1,2311900.09,2690755.758,59,14,45,3239678.403,50,2917866.985
5/31/2019,2019,2,2282023.7,3335218.781,88,18,70,2203610.271,47,2571856.294
6/30/2019,2019,3,2411533.35,2082052.161,44,19,25,1983393.376,36,2498317.826
7/31/2019,2019,4,2433979.15,2530530.32,46,8,38,1510168.665,44,2425805.648
8/31/2019,2019,5,1665229.4,1925620.28,30,11,19,2221267.368,52,2292541.907
9/30/2019,2019,6,1754382.48,1645811.62,27,9,18,2877683.088,51,2530891.774
10/31/2019,2019,7,1695773.84,2581391.757,50,22,28,2263179.778,29,2163013.789
11/30/2019,2019,8,2524529.51,2037140.015,44,21,23,1731484.64,46,2560064.878
12/31/2019,2019,9,2955954.39,2556454.233,37,8,29,2767227.89,66,3239447.879
1/31/2020,2019,10,1996322.15,2908845.533,52,16,36,3572884.661,57,2914972.435
2/29/2020,2019,11,1289924.83,2303483.028,40,19,21,3358937.97,92,2726306.898
3/31/2020,2019,12,2616185.31,2728605.27,82,31,51,4540530.886,59,3548356.45
4/30/2020,2020,1,2656716.48,2628696.512,73,15,58,2690755.758,88,3219641.242
5/31/2020,2020,2,1516910.72,1940096.01,58,17,41,3335218.781,44,2506643.892
6/30/2020,2020,3,982266.28,2529772.455,63,17,46,2082052.161,46,1865132.378
7/31/2020,2020,4,1229852.67,1186189.639,32,8,24,2530530.32,30,2019232.857
8/31/2020,2020,5,985374.84,2786112.2,35,7,28,1925620.28,27,1689721.858
9/30/2020,2020,6,1422751.82,3094625.371,59,13,46,1645811.62,50,1998605.178
10/31/2020,2020,7,1618674.85,1612281.29,40,15,25,2581391.757,44,2341789.147
11/30/2020,2020,8,1674978.67,2372503.355,40,15,25,2037140.015,37,2160593.074
12/31/2020,2020,9,1541133.31,2991259.893,54,15,39,2556454.233,52,2352741.163
1/31/2021,2020,10,2091456.27,2419945.273,46,11,35,2908845.533,40,2665256.988
2/28/2021,2020,11,2011336.87,2147558.449,52,16,36,2303483.028,82,2737577.669
3/31/2021,2020,12,1823234.14,3074563.702,44,13,31,2728605.27,73,2704649.105
4/30/2021,2021,1,1694205.9,2425264.835,62,20,42,2628696.512,58,2503203.461
5/31/2021,2021,2,2077831.93,2520745.955,45,11,34,1940096.01,63,2534968.451
6/30/2021,2021,3,1468225.88,2725533.554,56,20,36,2529772.455,32,2175495.54
7/31/2021,2021,4,1566813.21,2766974.401,55,12,43,1186189.639,35,1846854.815
8/31/2021,2021,5,1434771.42,2297292.832,53,13,40,2786112.2,59,2427241.785
9/30/2021,2021,6,2094795.68,3165732.824,51,20,31,3094625.371,40,2735196.399
10/31/2021,2021,7,2004625.36,2340832.344,34,5,29,1612281.29,40,2244633.473
11/30/2021,2021,8,2174466.74,3144961.21,54,19,35,2372503.355,54,2661734.979
12/31/2021,2021,9,2442210.88,1478894.668,35,7,28,2991259.893,46,2933614.86
1/31/2022,2021,10,2330815.38,2716352.065,40,10,30,2419945.273,52,2747271.537
2/28/2022,2021,11,2421085.36,2439887.732,52,17,35,2147558.449,44,2658483.98
3/31/2022,2021,12,2514404.64,2124246.626,53,20,33,3074563.702,62,3113429.439
4/30/2022,2022,1,2446739.48,2909220.885,64,16,48,2425264.835,45,2765410.42
5/31/2022,2022,2,2441604.89,2064729.91,43,10,33,2520745.955,56,2870042.89
6/30/2022,2022,3,1925807.55,2442759.869,56,23,33,2725533.554,55,2654792.359
7/31/2022,2022,4,2033204.28,1084939.88,25,4,21,2766974.401,53,2711231.153
8/31/2022,2022,5,1928347.96,1887930.45,47,19,28,2297292.832,51,2502720.383
9/30/2022,2022,6,1548099.3,3137573.98,62,26,36,3165732.824,34,2445651.618
10/31/2022,2022,7,1858951.59,2047855.362,44,19,25,2340832.344,54,2503438.646
11/30/2022,2022,8,1700787.46,3235523.19,56,18,38,3144961.21,35,2529835.251
12/31/2022,2022,9,2132207.16,2131180.01,52,26,26,1478894.668,40,2293492.634
1/31/2023,2022,10,2556658.3,2607551.54,40,14,26,2716352.065,52,2973626.776
2/28/2023,2022,11,2066868.09,3052788.58,56,15,41,2439887.732,53,2641700.457
3/31/2023,2022,12,2386457.31,3042895.71,61,18,43,2124246.626,64,2793751.621
4/30/2023,2023,1,2078173.5,1022852.888,32,10,22,2909220.885,43,2721437.718
5/31/2023,2023,2,2325673.15,3311208.47,63,22,41,2064729.91,56,2690949.76
6/30/2023,2023,3,1852175.06,3080543.12,52,21,31,2442759.869,25,2339555
7/31/2023,2023,4,1921717.36,2217186.32,46,16,30,1084939.88,47,2124597.798
8/31/2023,2023,5,1446480.26,3877192.63,48,13,35,1887930.45,62,2222328.633
9/30/2023,2023,6,2270045.94,3221570.367,54,26,28,3137573.98,44,2905632.278
10/31/2023,2023,7,1786991.95,3113207.74,55,22,33,2047855.362,56,2410403.87
11/30/2023,2023,8,2000769.8,2878958.81,45,19,26,3235523.19,52,2852627.062
12/31/2023,2023,9,2054317.8,2104117.68,36,10,26,2131180.01,40,2466894.43
1/31/2024,2023,10,2576562.57,2843154.1,53,22,31,2607551.54,56,2998175.383
2/29/2024,2023,11,2389917.93,3079523.66,58,22,36,3052788.58,61,3070215.952
3/31/2024,2023,12,1613714.32,2926001.911,54,23,31,3042895.71,32,2457291.25
4/30/2024,2024,1,2487742.59,2391873.556,51,22,29,1022852.888,63,2529812.499
5/31/2024,2024,2,2581158.45,3131958.56,57,17,40,3311208.47,52,3189865.927
6/30/2024,2024,3,1704088.77,3407866.06,54,14,40,3080543.12,46,2618945.194
7/31/2024,2024,4,2315878.7,2726852.25,39,10,29,2217186.32,48,2697226.83
8/31/2024,2024,5,1710478.78,1792933.271,36,9,27,3877192.63,54,2920508.557
9/30/2024,2024,6,1577852.82,2967290.695,37,10,27,3221570.367,55,2662648.961
10/31/2024,2024,7,1708064.91,2656318.21,64,20,44,3113207.74,45,2630048.147
11/30/2024,2024,8,1326014.32,3417666.784,46,14,32,2878958.81,36,2297321.14
12/31/2024,2024,9,1659811.14,2071062.16,48,16,32,2104117.68,53,2361155.317
1/31/2025,2024,10,2131294.37,3073348.775,55,19,36,2843154.1,58,2867410.915
2/28/2025,2024,11,2398968.34,3173980.76,50,18,32,3079523.66,54,3052585.793
