ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER,yhat,yhat_lower,yhat_upper
2011-04-30,2011.0,1.0,1489878.86,3629805.06,62.0,16.0,46.0,,,
2011-05-31,2011.0,2.0,1922713.79,1724956.61,41.0,8.0,33.0,,,
2011-06-30,2011.0,3.0,2378873.09,2623665.5,38.0,12.0,26.0,,,
2011-07-31,2011.0,4.0,1853901.62,2626410.66,49.0,9.0,40.0,,,
2011-08-31,2011.0,5.0,2024100.54,1995629.23,33.0,17.0,16.0,,,
2011-09-30,2011.0,6.0,1329445.24,3465521.97,43.0,20.0,23.0,,,
2011-10-31,2011.0,7.0,1865240.64,1792970.42,35.0,9.0,26.0,,,
2011-11-30,2011.0,8.0,2159360.43,1924099.546,32.0,16.0,16.0,,,
2011-12-31,2011.0,9.0,1356333.85,1790695.5,25.0,6.0,19.0,,,
2012-01-31,2011.0,10.0,1692342.47,1337685.21,27.0,8.0,19.0,,,
2012-02-29,2011.0,11.0,2208069.26,1815549.91,32.0,13.0,19.0,,,
2012-03-31,2011.0,12.0,1909207.0,2238235.9,75.0,17.0,58.0,,,
2012-04-30,2012.0,1.0,2872070.97,2064924.92,36.0,12.0,24.0,,,
2012-05-31,2012.0,2.0,2017235.18,1387912.58,30.0,10.0,20.0,,,
2012-06-30,2012.0,3.0,2030150.39,2203039.23,32.0,9.0,23.0,,,
2012-07-31,2012.0,4.0,2156175.11,1510063.18,41.0,12.0,29.0,,,
2012-08-31,2012.0,5.0,2104838.76,2852607.3,68.0,14.0,54.0,,,
2012-09-30,2012.0,6.0,1239605.6,2982185.85,46.0,8.0,38.0,,,
2012-10-31,2012.0,7.0,1813201.08,1831774.12,35.0,9.0,26.0,,,
2012-11-30,2012.0,8.0,1964663.18,3229496.07,61.0,14.0,47.0,,,
2012-12-31,2012.0,9.0,1705037.78,3051046.44,51.0,12.0,39.0,,,
2013-01-31,2012.0,10.0,1654993.05,1619809.81,33.0,10.0,23.0,,,
2013-02-28,2012.0,11.0,2364079.84,2386270.9,35.0,11.0,24.0,,,
2013-03-31,2012.0,12.0,900197.95,2377410.52,27.0,10.0,17.0,,,
2013-04-30,2013.0,1.0,2671204.95,2164948.38,49.0,13.0,36.0,,,
2013-05-31,2013.0,2.0,1656952.45,1925505.81,32.0,14.0,18.0,,,
2013-06-30,2013.0,3.0,1981714.48,1754634.66,42.0,13.0,29.0,,,
2013-07-31,2013.0,4.0,2596199.19,1952435.36,37.0,12.0,25.0,,,
2013-08-31,2013.0,5.0,2160295.18,2236453.92,34.0,8.0,26.0,,,
2013-09-30,2013.0,6.0,1513882.32,1369729.94,32.0,8.0,24.0,,,
2013-10-31,2013.0,7.0,1632396.88,3025887.28,60.0,25.0,35.0,,,
2013-11-30,2013.0,8.0,2294279.0,1421532.25,43.0,11.0,32.0,,,
2013-12-31,2013.0,9.0,2172848.61,1427626.49,35.0,11.0,24.0,,,
2014-01-31,2013.0,10.0,1644101.03,3507401.86,67.0,10.0,57.0,,,
2014-02-28,2013.0,11.0,1641647.36,1841224.41,55.0,13.0,42.0,,,
2014-03-31,2013.0,12.0,2156105.37,3266199.09,42.0,13.0,29.0,,,
2014-04-30,2014.0,1.0,2222263.14,2358043.45,54.0,11.0,43.0,,,
2014-05-31,2014.0,2.0,1709731.4,2031113.489,51.0,15.0,36.0,,,
2014-06-30,2014.0,3.0,2056515.37,2094661.68,38.0,9.0,29.0,,,
2014-07-31,2014.0,4.0,2167779.74,3607457.13,59.0,13.0,46.0,,,
2014-08-31,2014.0,5.0,2164246.54,1138014.36,24.0,5.0,19.0,,,
2014-09-30,2014.0,6.0,1638343.97,2057333.71,55.0,13.0,42.0,,,
2014-10-31,2014.0,7.0,1643687.01,3876312.01,56.0,9.0,47.0,,,
2014-11-30,2014.0,8.0,1801718.81,1260767.63,33.0,5.0,28.0,,,
2014-12-31,2014.0,9.0,2229873.87,2534111.84,31.0,13.0,18.0,,,
2015-01-31,2014.0,10.0,1652092.58,1956282.453,47.0,13.0,34.0,,,
2015-02-28,2014.0,11.0,1812800.17,3181166.224,56.0,12.0,44.0,,,
2015-03-31,2014.0,12.0,2280071.14,2792862.4,65.0,15.0,50.0,,,
2015-04-30,2015.0,1.0,2268000.62,2036438.798,37.0,13.0,24.0,,,
2015-05-31,2015.0,2.0,2296895.1,3073630.96,67.0,13.0,54.0,,,
2015-06-30,2015.0,3.0,2560899.1,2293476.359,51.0,11.0,40.0,,,
2015-07-31,2015.0,4.0,2921974.55,2004424.244,35.0,6.0,29.0,,,
2015-08-31,2015.0,5.0,2162138.14,2156796.2,38.0,11.0,27.0,,,
2015-09-30,2015.0,6.0,1539331.38,2090915.083,57.0,15.0,42.0,,,
2015-10-31,2015.0,7.0,1933027.15,1500551.648,19.0,3.0,16.0,,,
2015-11-30,2015.0,8.0,1972425.92,3941170.846,57.0,14.0,43.0,,,
2015-12-31,2015.0,9.0,1992113.37,1453386.65,24.0,8.0,16.0,,,
2016-01-31,2015.0,10.0,2221328.92,2096546.766,54.0,17.0,37.0,,,
2016-02-29,2015.0,11.0,1660954.45,1648925.19,41.0,10.0,31.0,,,
2016-03-31,2015.0,12.0,1940317.92,2296818.55,42.0,10.0,32.0,,,
2016-04-30,2016.0,1.0,1900619.06,2330669.011,50.0,9.0,41.0,,,
2016-05-31,2016.0,2.0,1813296.63,2193039.19,44.0,18.0,26.0,,,
2016-06-30,2016.0,3.0,1741400.85,1764802.379,42.0,12.0,30.0,,,
2016-07-31,2016.0,4.0,2389991.23,2944021.215,37.0,6.0,31.0,,,
2016-08-31,2016.0,5.0,1360454.62,2234798.69,36.0,5.0,31.0,,,
2016-09-30,2016.0,6.0,2130952.88,1559861.258,29.0,8.0,21.0,,,
2016-10-31,2016.0,7.0,1560746.86,1926779.928,40.0,13.0,27.0,,,
2016-11-30,2016.0,8.0,1751660.08,3566603.692,39.0,16.0,23.0,,,
2016-12-31,2016.0,9.0,1247216.95,1766605.264,33.0,15.0,18.0,,,
2017-01-31,2016.0,10.0,2283660.72,3084823.166,46.0,14.0,32.0,,,
2017-02-28,2016.0,11.0,2065107.68,1569254.32,30.0,8.0,22.0,,,
2017-03-31,2016.0,12.0,1561699.4,1270808.493,28.0,6.0,22.0,,,
2017-04-30,2017.0,1.0,1501834.04,2755812.218,45.0,13.0,32.0,,,
2017-05-31,2017.0,2.0,2452080.04,2387869.87,50.0,21.0,29.0,,,
2017-06-30,2017.0,3.0,1977013.09,2397063.113,27.0,12.0,15.0,,,
2017-07-31,2017.0,4.0,2556370.52,3006947.783,49.0,22.0,27.0,,,
2017-08-31,2017.0,5.0,1885803.17,2672625.422,36.0,9.0,27.0,,,
2017-09-30,2017.0,6.0,1953280.92,1497327.189,36.0,7.0,29.0,,,
2017-10-31,2017.0,7.0,1746813.75,2256027.323,42.0,10.0,32.0,,,
2017-11-30,2017.0,8.0,1606243.9,2090420.503,44.0,10.0,34.0,,,
2017-12-31,2017.0,9.0,1625741.69,1267262.348,21.0,8.0,13.0,,,
2018-01-31,2017.0,10.0,2697441.94,3167225.47,49.0,10.0,39.0,,,
2018-02-28,2017.0,11.0,1615646.79,3607562.054,64.0,14.0,50.0,,,
2018-03-31,2017.0,12.0,2145538.1,2431429.333,61.0,13.0,48.0,,,
2018-04-30,2018.0,1.0,2153008.87,3239678.403,56.0,20.0,36.0,,,
2018-05-31,2018.0,2.0,2101930.5,2203610.271,50.0,11.0,39.0,,,
2018-06-30,2018.0,3.0,2097268.44,1983393.376,47.0,19.0,28.0,,,
2018-07-31,2018.0,4.0,2592867.81,1510168.665,36.0,8.0,28.0,,,
2018-08-31,2018.0,5.0,2015054.33,2221267.368,44.0,19.0,25.0,,,
2018-09-30,2018.0,6.0,1222470.6,2877683.088,52.0,18.0,34.0,,,
2018-10-31,2018.0,7.0,2249711.87,2263179.778,51.0,18.0,33.0,,,
2018-11-30,2018.0,8.0,1939409.96,1731484.64,29.0,5.0,24.0,,,
2018-12-31,2018.0,9.0,1482792.84,2767227.89,46.0,11.0,35.0,,,
2019-01-31,2018.0,10.0,2127225.02,3572884.661,66.0,21.0,45.0,,,
2019-02-28,2018.0,11.0,2160835.26,3358937.97,57.0,10.0,47.0,,,
2019-03-31,2018.0,12.0,2860021.31,4540530.886,92.0,15.0,77.0,,,
2019-04-30,2019.0,1.0,2311900.09,2690755.758,59.0,14.0,45.0,,,
2019-05-31,2019.0,2.0,2282023.7,3335218.781,88.0,18.0,70.0,,,
2019-06-30,2019.0,3.0,2411533.35,2082052.161,44.0,19.0,25.0,,,
2019-07-31,2019.0,4.0,2433979.15,2530530.32,46.0,8.0,38.0,,,
2019-08-31,2019.0,5.0,1665229.4,1925620.28,30.0,11.0,19.0,,,
2019-09-30,2019.0,6.0,1754382.48,1645811.62,27.0,9.0,18.0,,,
2019-10-31,2019.0,7.0,1695773.84,2581391.757,50.0,22.0,28.0,,,
2019-11-30,2019.0,8.0,2524529.51,2037140.015,44.0,21.0,23.0,,,
2019-12-31,2019.0,9.0,2955954.39,2556454.233,37.0,8.0,29.0,,,
2020-01-31,2019.0,10.0,1996322.15,2908845.533,52.0,16.0,36.0,,,
2020-02-29,2019.0,11.0,1289924.83,2303483.028,40.0,19.0,21.0,,,
2020-03-31,2019.0,12.0,2616185.31,2728605.27,82.0,31.0,51.0,,,
2020-04-30,2020.0,1.0,2656716.48,2628696.512,73.0,15.0,58.0,,,
2020-05-31,2020.0,2.0,1516910.72,1940096.01,58.0,17.0,41.0,,,
2020-06-30,2020.0,3.0,982266.28,2529772.455,63.0,17.0,46.0,,,
2020-07-31,2020.0,4.0,1229852.67,1186189.639,32.0,8.0,24.0,,,
2020-08-31,2020.0,5.0,985374.84,2786112.2,35.0,7.0,28.0,,,
2020-09-30,2020.0,6.0,1422751.82,3094625.371,59.0,13.0,46.0,,,
2020-10-31,2020.0,7.0,1618674.85,1612281.29,40.0,15.0,25.0,,,
2020-11-30,2020.0,8.0,1674978.67,2372503.355,40.0,15.0,25.0,,,
2020-12-31,2020.0,9.0,1541133.31,2991259.893,54.0,15.0,39.0,,,
2021-01-31,2020.0,10.0,2091456.27,2419945.273,46.0,11.0,35.0,,,
2021-02-28,2020.0,11.0,2011336.87,2147558.449,52.0,16.0,36.0,,,
2021-03-31,2020.0,12.0,1823234.14,3074563.702,44.0,13.0,31.0,,,
2021-04-30,2021.0,1.0,1694205.9,2425264.835,62.0,20.0,42.0,,,
2021-05-31,2021.0,2.0,2077831.93,2520745.955,45.0,11.0,34.0,,,
2021-06-30,2021.0,3.0,1468225.88,2725533.554,56.0,20.0,36.0,,,
2021-07-31,2021.0,4.0,1566813.21,2766974.401,55.0,12.0,43.0,,,
2021-08-31,2021.0,5.0,1434771.42,2297292.832,53.0,13.0,40.0,,,
2021-09-30,2021.0,6.0,2094795.68,3165732.824,51.0,20.0,31.0,,,
2021-10-31,2021.0,7.0,2004625.36,2340832.344,34.0,5.0,29.0,,,
2021-11-30,2021.0,8.0,2174466.74,3144961.21,54.0,19.0,35.0,,,
2021-12-31,2021.0,9.0,2442210.88,1478894.668,35.0,7.0,28.0,,,
2022-01-31,2021.0,10.0,2330815.38,2716352.065,40.0,10.0,30.0,,,
2022-02-28,2021.0,11.0,2421085.36,2439887.732,52.0,17.0,35.0,,,
2022-03-31,2021.0,12.0,2514404.64,2124246.626,53.0,20.0,33.0,,,
2022-04-30,2022.0,1.0,2446739.48,2909220.885,64.0,16.0,48.0,,,
2022-05-31,2022.0,2.0,2441604.89,2064729.91,43.0,10.0,33.0,,,
2022-06-30,2022.0,3.0,1925807.55,2442759.869,56.0,23.0,33.0,,,
2022-07-31,2022.0,4.0,2033204.28,1084939.88,25.0,4.0,21.0,,,
2022-08-31,2022.0,5.0,1928347.96,1887930.45,47.0,19.0,28.0,,,
2022-09-30,2022.0,6.0,1548099.3,3137573.98,62.0,26.0,36.0,,,
2022-10-31,2022.0,7.0,1858951.59,2047855.362,44.0,19.0,25.0,,,
2022-11-30,2022.0,8.0,1700787.46,3235523.19,56.0,18.0,38.0,,,
2022-12-31,2022.0,9.0,2132207.16,2131180.01,52.0,26.0,26.0,,,
2023-01-31,2022.0,10.0,2556658.3,2607551.54,40.0,14.0,26.0,,,
2023-02-28,2022.0,11.0,2066868.09,3052788.58,56.0,15.0,41.0,,,
2023-03-31,2022.0,12.0,2386457.31,3042895.71,61.0,18.0,43.0,,,
2023-04-30,2023.0,1.0,2078173.5,1022852.888,32.0,10.0,22.0,,,
2023-05-31,2023.0,2.0,2325673.15,3311208.47,63.0,22.0,41.0,,,
2023-06-30,2023.0,3.0,1852175.06,3080543.12,52.0,21.0,31.0,,,
2023-07-31,2023.0,4.0,1921717.36,2217186.32,46.0,16.0,30.0,,,
2023-08-31,2023.0,5.0,1446480.26,3877192.63,48.0,13.0,35.0,,,
2023-09-30,2023.0,6.0,2270045.94,3221570.367,54.0,26.0,28.0,,,
2023-10-31,2023.0,7.0,1786991.95,3113207.74,55.0,22.0,33.0,,,
2023-11-30,2023.0,8.0,2000769.8,2878958.81,45.0,19.0,26.0,,,
2023-12-31,2023.0,9.0,2054317.8,2104117.68,36.0,10.0,26.0,,,
2024-01-31,2023.0,10.0,2576562.57,2843154.1,53.0,22.0,31.0,,,
2024-02-29,2023.0,11.0,2389917.93,3079523.66,58.0,22.0,36.0,,,
2024-03-31,2023.0,12.0,1613714.32,2926001.911,54.0,23.0,31.0,,,
2024-04-30,2024.0,1.0,2487742.59,2391873.556,51.0,22.0,29.0,,,
2024-05-31,2024.0,2.0,2581158.45,3131958.56,57.0,17.0,40.0,,,
2024-06-30,2024.0,3.0,1704088.77,3407866.06,54.0,14.0,40.0,,,
2024-07-31,2024.0,4.0,2315878.7,2726852.25,39.0,10.0,29.0,,,
2024-08-31,2024.0,5.0,1710478.78,1792933.271,36.0,9.0,27.0,,,
2024-09-30,2024.0,6.0,1577852.82,2967290.695,37.0,10.0,27.0,,,
2024-10-31,2024.0,7.0,1708064.91,2656318.21,64.0,20.0,44.0,,,
2024-11-30,2024.0,8.0,1326014.32,3417666.784,46.0,14.0,32.0,,,
2024-12-31,2024.0,9.0,1659811.14,2071062.16,48.0,16.0,32.0,,,
2025-01-31,2024.0,10.0,2131294.37,3073348.775,55.0,19.0,36.0,,,
2025-02-28,2024.0,11.0,2398968.34,3173980.76,50.0,18.0,32.0,,,
,,,,,,,,2096275.59988814,1644944.3093965235,2569613.611720485
,,,,,,,,2238560.7606236767,1798132.7852006184,2687240.9036171017
,,,,,,,,2127127.824264374,1669826.2743902362,2611363.643452692
,,,,,,,,1981838.5320689292,1508912.2292533747,2424240.684576112
,,,,,,,,2235878.755789991,1773111.035841781,2716434.686690209
,,,,,,,,1837606.8511614453,1360260.305836789,2254856.3191757505
,,,,,,,,1713505.908701505,1274334.227701577,2156296.5982928383
,,,,,,,,1837873.6029638292,1377976.4903522818,2321197.062579389
,,,,,,,,1960125.5820759104,1495136.9838414348,2417382.830751077
,,,,,,,,1939300.4938308303,1461562.8935824814,2380696.6841438203
,,,,,,,,2167236.092956906,1717930.5646017678,2674176.256156096
,,,,,,,,2047271.417005289,1592334.4604265364,2512061.1855907696
,,,,,,,,2101621.2541728485,1624920.221198224,2562061.918549411
,,,,,,,,2247585.7610951588,1787495.5999814393,2707094.290231726
,,,,,,,,2131469.18486695,1680204.3369860756,2561419.140420848
,,,,,,,,1993376.4966022829,1528498.704594243,2498261.285094717
,,,,,,,,2250900.581921196,1800373.6741291082,2719077.7385098506
,,,,,,,,1840419.5796682544,1375155.0111225343,2308070.1849448737
